frame,x_0,y_0,z_0,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,x_5,y_5,z_5,x_6,y_6,z_6,x_7,y_7,z_7,x_8,y_8,z_8,x_9,y_9,z_9,x_10,y_10,z_10,x_11,y_11,z_11,x_12,y_12,z_12,x_13,y_13,z_13,x_14,y_14,z_14,x_15,y_15,z_15,x_16,y_16,z_16,x_17,y_17,z_17,x_18,y_18,z_18,x_19,y_19,z_19,x_20,y_20,z_20,frame_rate,frame_width,frame_height
0,0.014213964343070984,0.8114220499992371,1.526097662463144e-06,0.08519881963729858,0.6638568639755249,-0.019603567197918892,0.17529064416885376,0.5495786666870117,-0.06316518783569336,0.2732449173927307,0.4951832592487335,-0.1044938787817955,0.357183575630188,0.4708957076072693,-0.14724810421466827,0.12405863404273987,0.4846567213535309,-0.1428256630897522,0.2578020691871643,0.4026874303817749,-0.22165121138095856,0.36022627353668213,0.3972885012626648,-0.26864999532699585,0.44264036417007446,0.40374258160591125,-0.2975238859653473,0.10419682413339615,0.5908129215240479,-0.17153683304786682,0.2669636011123657,0.5327442288398743,-0.25181034207344055,0.38566064834594727,0.5221614837646484,-0.28157153725624084,0.4748138189315796,0.5179200768470764,-0.3004288673400879,0.103338323533535,0.7136017084121704,-0.198088139295578,0.2621946632862091,0.6832772493362427,-0.2667621076107025,0.382784366607666,0.6733101010322571,-0.2812355160713196,0.4739219844341278,0.6609225273132324,-0.2871468961238861,0.11536502093076706,0.8310312032699585,-0.2244482934474945,0.24461957812309265,0.8200700283050537,-0.2740972638130188,0.3321313261985779,0.8071308135986328,-0.28188711404800415,0.40449947118759155,0.7913448810577393,-0.2845268249511719,30.0,640.0,480.0
1,0.014462023973464966,0.8094248175621033,1.5302747442547115e-06,0.08459717035293579,0.6621236205101013,-0.020026059821248055,0.17460493743419647,0.5475682020187378,-0.06359060853719711,0.2730445861816406,0.49280935525894165,-0.10482695698738098,0.3571617901325226,0.46814727783203125,-0.1475571244955063,0.1237819567322731,0.4842204451560974,-0.14344123005867004,0.25703492760658264,0.4025537669658661,-0.22238168120384216,0.3594215214252472,0.39621829986572266,-0.2692843973636627,0.4419511556625366,0.4021531343460083,-0.29807132482528687,0.10430442541837692,0.5900639295578003,-0.17196610569953918,0.26639607548713684,0.5319970846176147,-0.2526751458644867,0.38573235273361206,0.5211923122406006,-0.2825793921947479,0.4756923317909241,0.5173024535179138,-0.3013908267021179,0.1035475805401802,0.7126787304878235,-0.19837132096290588,0.2613242566585541,0.6821678876876831,-0.2676892876625061,0.3822774887084961,0.6726468205451965,-0.28279027342796326,0.47403329610824585,0.6612420678138733,-0.2889554500579834,0.11547726392745972,0.8304048180580139,-0.2245699018239975,0.2441752403974533,0.8194094300270081,-0.27516070008277893,0.3317275643348694,0.8068952560424805,-0.2838951051235199,0.4044727683067322,0.7917814254760742,-0.2870681583881378,30.0,640.0,480.0
2,0.010461792349815369,0.8133158087730408,1.5142620668484597e-06,0.07962930202484131,0.6676555871963501,-0.01937866397202015,0.169033482670784,0.5516985058784485,-0.06054677441716194,0.26801127195358276,0.49712738394737244,-0.09947886317968369,0.35162353515625,0.4727621078491211,-0.13951797783374786,0.12193355709314346,0.4892142415046692,-0.13581065833568573,0.2567519545555115,0.4070731997489929,-0.2107393443584442,0.35964977741241455,0.4009883403778076,-0.25485408306121826,0.4429517388343811,0.40709757804870605,-0.28165432810783386,0.10518413037061691,0.5954916477203369,-0.16327491402626038,0.26698192954063416,0.5356596112251282,-0.23925194144248962,0.38570451736450195,0.5242390632629395,-0.26721495389938354,0.4756459593772888,0.5202572345733643,-0.28455647826194763,0.10576856881380081,0.7190060019493103,-0.18879607319831848,0.2640790343284607,0.6883699893951416,-0.25402188301086426,0.3849264979362488,0.6774001717567444,-0.2683418393135071,0.476132333278656,0.6650406122207642,-0.273859441280365,0.11866223812103271,0.8376061916351318,-0.214179128408432,0.2477245181798935,0.8249714374542236,-0.2611604630947113,0.33536142110824585,0.8111476302146912,-0.2686762809753418,0.4078003168106079,0.7949231266975403,-0.27090585231781006,30.0,640.0,480.0
3,0.013106554746627808,0.8125667572021484,1.4827725181021378e-06,0.08523772656917572,0.6668461561203003,-0.02130778692662716,0.18404100835323334,0.5482112765312195,-0.062382012605667114,0.28958114981651306,0.4902694523334503,-0.10041530430316925,0.3784317374229431,0.4609810709953308,-0.13906438648700714,0.12517213821411133,0.4919697642326355,-0.13882242143154144,0.2610400319099426,0.40862908959388733,-0.21296361088752747,0.3642001450061798,0.40150323510169983,-0.25586947798728943,0.4477887749671936,0.40793484449386597,-0.2821296751499176,0.1060296818614006,0.5974155068397522,-0.16504524648189545,0.2674926519393921,0.5380876064300537,-0.24084019660949707,0.3853587806224823,0.5244450569152832,-0.2681824266910553,0.4749937653541565,0.5178924202919006,-0.28564247488975525,0.10630721598863602,0.719306468963623,-0.18935894966125488,0.26654064655303955,0.6898283362388611,-0.25429046154022217,0.3860377371311188,0.679808497428894,-0.2676194906234741,0.47636061906814575,0.6682375073432922,-0.27295640110969543,0.12025228142738342,0.8365805745124817,-0.2137482464313507,0.25066569447517395,0.8247835040092468,-0.260894775390625,0.3377828001976013,0.8117747902870178,-0.26860812306404114,0.4098896384239197,0.7973922491073608,-0.27131563425064087,30.0,640.0,480.0
4,0.012196645140647888,0.8167060613632202,1.4945458133297507e-06,0.08042900264263153,0.6690484285354614,-0.020585069432854652,0.17698274552822113,0.5503809452056885,-0.060886628925800323,0.2828866243362427,0.49457699060440063,-0.09841547906398773,0.3713670074939728,0.468147873878479,-0.13668380677700043,0.12369400262832642,0.494246244430542,-0.1347658783197403,0.25907742977142334,0.4129180908203125,-0.2078612744808197,0.36239659786224365,0.40614205598831177,-0.25089016556739807,0.4464802145957947,0.412151038646698,-0.27724510431289673,0.10557783395051956,0.6004257798194885,-0.16102753579616547,0.26888352632522583,0.5430904626846313,-0.23448123037815094,0.38720670342445374,0.5295762419700623,-0.26142799854278564,0.4770195186138153,0.5229038596153259,-0.2788098156452179,0.10568545013666153,0.7234079837799072,-0.18548712134361267,0.26636365056037903,0.6943947076797485,-0.24798522889614105,0.3858332633972168,0.6834913492202759,-0.2605319023132324,0.4766313135623932,0.6716040372848511,-0.26563236117362976,0.11872368305921555,0.8420262336730957,-0.21013487875461578,0.24994266033172607,0.830065131187439,-0.2551054060459137,0.3371477723121643,0.8170958757400513,-0.261507123708725,0.40919435024261475,0.8029107451438904,-0.26339712738990784,30.0,640.0,480.0
5,0.0072273313999176025,0.820002555847168,1.5177278100964031e-06,0.07303424179553986,0.6731778383255005,-0.019593894481658936,0.16626164317131042,0.5582226514816284,-0.06120850518345833,0.26948055624961853,0.5047599077224731,-0.10008440911769867,0.3570473790168762,0.48237866163253784,-0.1398341804742813,0.12221124768257141,0.49846386909484863,-0.1386633962392807,0.2606227397918701,0.41530269384384155,-0.2140645831823349,0.3634195327758789,0.40847617387771606,-0.25822943449020386,0.44644635915756226,0.4149726927280426,-0.28510263562202454,0.10559482127428055,0.6044476628303528,-0.16577863693237305,0.27129921317100525,0.5435514450073242,-0.24186965823173523,0.389132022857666,0.5306321978569031,-0.26983410120010376,0.47817981243133545,0.5245366096496582,-0.2874569296836853,0.1066453754901886,0.7271188497543335,-0.19068312644958496,0.2686534523963928,0.6954807043075562,-0.2552376389503479,0.38731783628463745,0.6859873533248901,-0.26840925216674805,0.4773038923740387,0.6745137572288513,-0.2735253870487213,0.12026707082986832,0.8443905115127563,-0.21541419625282288,0.25149238109588623,0.8318188786506653,-0.26142093539237976,0.3381187319755554,0.8197242617607117,-0.26774293184280396,0.4101101756095886,0.8050280213356018,-0.26930588483810425,30.0,640.0,480.0
6,0.005279317498207092,0.8214965462684631,1.5196371805359377e-06,0.07246463000774384,0.6756196022033691,-0.019081061705946922,0.16623972356319427,0.5643632411956787,-0.05969388410449028,0.2702258229255676,0.5184828042984009,-0.09777906537055969,0.3573181629180908,0.5054190754890442,-0.13621585071086884,0.12282247096300125,0.49805331230163574,-0.13441570103168488,0.2623346447944641,0.4137136936187744,-0.20887942612171173,0.3658669888973236,0.40743374824523926,-0.252833753824234,0.44901323318481445,0.4164298474788666,-0.2791946828365326,0.10469192266464233,0.6033960580825806,-0.16117919981479645,0.2700050473213196,0.5418301820755005,-0.23543012142181396,0.3855733573436737,0.526797354221344,-0.26280099153518677,0.47223979234695435,0.5192952156066895,-0.27987098693847656,0.10513485223054886,0.7260333895683289,-0.18600235879421234,0.26934969425201416,0.695544958114624,-0.24850629270076752,0.3884979486465454,0.6848903298377991,-0.26123955845832825,0.47720593214035034,0.6731035113334656,-0.2660379707813263,0.11904004961252213,0.843873918056488,-0.21082483232021332,0.2533301115036011,0.8323537111282349,-0.2545260488986969,0.3394312262535095,0.8214595317840576,-0.2596151828765869,0.40996670722961426,0.8074697852134705,-0.26030969619750977,30.0,640.0,480.0
7,0.004744440317153931,0.8241336345672607,1.5210894162009936e-06,0.072623610496521,0.6778296828269958,-0.018084349110722542,0.16679313778877258,0.5654886960983276,-0.05806921795010567,0.2705284357070923,0.5195424556732178,-0.09592697769403458,0.35737186670303345,0.508444607257843,-0.13419726490974426,0.1235920786857605,0.49782606959342957,-0.1323864459991455,0.2636570930480957,0.41171345114707947,-0.20687057077884674,0.3675903379917145,0.40666669607162476,-0.2511994242668152,0.4510696828365326,0.41692161560058594,-0.277816504240036,0.10450837761163712,0.602839469909668,-0.15971742570400238,0.27102139592170715,0.5411173701286316,-0.23378953337669373,0.3867865800857544,0.5274327397346497,-0.2614857256412506,0.4731144607067108,0.5205807089805603,-0.27879342436790466,0.10379905253648758,0.7255725860595703,-0.18510648608207703,0.2668244540691376,0.6946276426315308,-0.24752706289291382,0.3855739235877991,0.6843737363815308,-0.2606455087661743,0.47401776909828186,0.6723134517669678,-0.26570531725883484,0.11667788773775101,0.8437050580978394,-0.21044600009918213,0.2514071762561798,0.8324055671691895,-0.25405779480934143,0.3377252221107483,0.8222179412841797,-0.2591015100479126,0.4083593487739563,0.8083846569061279,-0.25974902510643005,30.0,640.0,480.0
8,0.005556851625442505,0.827641487121582,1.5434837905559107e-06,0.07764483988285065,0.6796003580093384,-0.01896141655743122,0.1731889545917511,0.5666366219520569,-0.061447691172361374,0.27884289622306824,0.5211113691329956,-0.10193000733852386,0.36848005652427673,0.5094085931777954,-0.14323651790618896,0.12440306693315506,0.49750834703445435,-0.13806524872779846,0.2646424472332001,0.4119583070278168,-0.21548621356487274,0.3692303001880646,0.4078403115272522,-0.26161572337150574,0.45367881655693054,0.41783004999160767,-0.289541095495224,0.10289424657821655,0.6020446419715881,-0.16656751930713654,0.2700905203819275,0.5408397912979126,-0.2444869577884674,0.3883625864982605,0.5287140011787415,-0.273500919342041,0.47649112343788147,0.5234174132347107,-0.2916037142276764,0.1008056104183197,0.7255395650863647,-0.19306838512420654,0.26550015807151794,0.6942095160484314,-0.2589188516139984,0.38683396577835083,0.685406506061554,-0.27251073718070984,0.47669047117233276,0.674055278301239,-0.2776538133621216,0.11267614364624023,0.8444583415985107,-0.21951577067375183,0.24882672727108002,0.8321479558944702,-0.26553136110305786,0.33743464946746826,0.8211826682090759,-0.27124547958374023,0.40928298234939575,0.8066821098327637,-0.27238646149635315,30.0,640.0,480.0
9,0.005643561482429504,0.8295267820358276,1.5453000514753512e-06,0.07865934073925018,0.6813390851020813,-0.01759205386042595,0.1740294247865677,0.5682785511016846,-0.059212230145931244,0.27798953652381897,0.5210882425308228,-0.0992804542183876,0.365570604801178,0.507128119468689,-0.14030428230762482,0.12482830882072449,0.4972245693206787,-0.13492265343666077,0.2657102644443512,0.4137043356895447,-0.21104614436626434,0.36960458755493164,0.4092918634414673,-0.2558341920375824,0.452811062335968,0.4173533320426941,-0.28283125162124634,0.10402961075305939,0.6028292775154114,-0.16385534405708313,0.2720891535282135,0.5418610572814941,-0.24151776731014252,0.3908641040325165,0.5315700769424438,-0.2699984610080719,0.4791227877140045,0.5274468064308167,-0.2873051166534424,0.10216735303401947,0.7263951897621155,-0.19067496061325073,0.2669471800327301,0.6952502131462097,-0.2567782402038574,0.38850945234298706,0.686637282371521,-0.26962810754776,0.4790194630622864,0.6744210720062256,-0.2737002372741699,0.11353641748428345,0.8449781537055969,-0.21727581322193146,0.24982744455337524,0.8323570489883423,-0.26266905665397644,0.3387264609336853,0.8210552930831909,-0.26719263195991516,0.4106292724609375,0.8061842918395996,-0.26720327138900757,30.0,640.0,480.0
